Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
17000.0,2024-01-13,Cash,Makanan/Minuman,Sarapan,Butuh
40000.0,2024-01-13,Cash,Belanja,Handuk,Butuh
27000.0,2024-01-14,Cash,Makanan/Minuman,Nasi Padang,Butuh
16000.0,2024-01-14,Livin,Makanan/Minuman,"Nasi Goreng,Makan Malam",Butuh
15000.0,2024-01-15,Cash,Makanan/Minuman,Warteg,Butuh
10000.0,2024-01-15,Cash,Makanan/Minuman,Warteg,Butuh
58000.0,2024-01-15,Livin,Makanan/Minuman,Nongkrong,Ingin
23034.0,2024-01-15,OVO,Hiburan,Vision,Ingin
3000.0,2024-01-15,Cash,Makanan/Minuman,"Roti,Sarapan",Butuh
16000.0,2024-01-15,Livin,Makanan/Minuman,Warteg,Butuh
1200.0,2024-01-15,OVO,Lainnya,Biaya Admin,Harus
13000.0,2024-01-15,Cash,Makanan/Minuman,Kelapa,Butuh
2500.0,2024-01-16,Livin,Lainnya,Biaya Admin,Butuh
200798.0,2024-01-16,Livin,Transportasi,Shuttle,Butuh
15000.0,2024-01-16,Livin,Makanan/Minuman,Warteg,Butuh
14000.0,2024-01-17,Livin,Makanan/Minuman,Warteg,Butuh
16000.0,2024-01-17,Livin,Makanan/Minuman,Warteg,Butuh
8000.0,2024-01-18,OVO,Transportasi,Ojol,Butuh
11500.0,2024-01-18,OVO,Transportasi,Ojol,Butuh
16000.0,2024-01-18,Cash,Makanan/Minuman,Bakpao,Butuh
13000.0,2024-01-18,Cash,Makanan/Minuman,Warteg,Butuh
10000.0,2024-01-18,OVO,Transportasi,Ojol,Butuh
12000.0,2024-01-19,Cash,Makanan/Minuman,Warteg,Butuh
1200.0,2024-01-19,OVO,Lainnya,Biaya Admin,Harus
8000.0,2024-01-19,Cash,Makanan/Minuman,Mie,Butuh
19000.0,2024-01-20,Cash,Makanan/Minuman,Air Minum,Butuh
15000.0,2024-01-20,Cash,Makanan/Minuman,Mie ayam,Butuh
5000.0,2024-01-20,Cash,Makanan/Minuman,Air Minum,Butuh
5000.0,2024-01-20,Cash,Makanan/Minuman,Es teh,Ingin
5000.0,2024-01-20,Cash,Hiburan,Uno,Ingin
30000.0,2024-01-20,Cash,Hiburan,Rumah hantu,Ingin
13000.0,2024-01-20,Livin,Makanan/Minuman,Warteg,Butuh
7333.0,2024-01-20,Livin,Transportasi,Ojol,Butuh
16000.0,2024-01-21,Cash,Makanan/Minuman,Nasi Padang,Butuh
10000.0,2024-01-21,OVO,Transportasi,Ojol,Butuh
25000.0,2024-01-21,Cash,Hiburan,Kebun binatang,Ingin
18000.0,2024-01-21,Cash,Makanan/Minuman,Sarapan,Butuh
12000.0,2024-01-22,Livin,Makanan/Minuman,"Warteg, Makan siang",Butuh
16000.0,2024-01-22,Livin,Makanan/Minuman,"Warteg, Makan malam",Butuh
6000.0,2024-01-22,Cash,Makanan/Minuman,Roti,Butuh
6000.0,2024-01-23,Cash,Makanan/Minuman,Roti,Butuh
17000.0,2024-01-23,Livin,Makanan/Minuman,"Warteg, Makan siang",Butuh
15000.0,2024-01-23,Livin,Makanan/Minuman,Baso malang,Butuh
25000.0,2024-01-23,Livin,Transportasi,e-money,Butuh
6000.0,2024-01-24,Cash,Makanan/Minuman,Buras,Butuh
20000.0,2024-01-24,Cash,Makanan/Minuman,"Warteg, Makan siang",Butuh
18000.0,2024-01-24,Cash,Makanan/Minuman,"Warteg, Makan malam",Butuh
10000.0,2024-01-24,Cash,Darurat,"Lem, lakban",Butuh
20500.0,2024-01-25,Livin,Makanan/Minuman,Nasi Soto,Butuh
4000.0,2024-01-25,Cash,Makanan/Minuman,Minum,Butuh
20000.0,2024-01-25,Livin,Transportasi,e-money,Butuh
2000.0,2024-01-25,Cash,Makanan/Minuman,Teh Tawar,Butuh
9000.0,2024-01-25,Cash,Makanan/Minuman,"Sarapan,Warteg",Butuh
15000.0,2024-01-25,Cash,Makanan/Minuman,Nasi Goreng,Butuh
15000.0,2024-01-26,Cash,Makanan/Minuman,Nasi padang,Butuh
11000.0,2024-01-26,Livin,Makanan/Minuman,"Warteg,Makan siang",Butuh
11000.0,2024-01-26,Cash,Makanan/Minuman,sosis,Butuh
15000.0,2024-01-27,Cash,Makanan/Minuman,Nasi Goreng,Butuh
30000.0,2024-01-27,Livin,Transportasi,e-money,Butuh
12000.0,2024-01-27,Cash,Makanan/Minuman,"Warteg,Sarapan",Butuh
13900.0,2024-01-28,Cash,Kebersihan,Sabun mandi,Butuh
16000.0,2024-01-28,Cash,Makanan/Minuman,Nasi Padang,Butuh
5900.0,2024-01-28,Cash,Makanan/Minuman,Susu,Ingin
11500.0,2024-01-28,Cash,Makanan/Minuman,Snack,Ingin
14000.0,2024-01-28,Cash,Makanan/Minuman,"Warteg,Sarapan",Butuh
13000.0,2024-01-29,Livin,Makanan/Minuman,"Warteg,Makan siang",Butuh
13000.0,2024-01-29,OVO,Lainnya,Hadiah Zami,Ingin
15000.0,2024-01-29,Cash,Makanan/Minuman,Nasi Padang,Butuh
29000.0,2024-01-29,Livin,Komunikasi,Paket Data,Butuh
11900.0,2024-01-30,Cash,Kebersihan,Super Sol,Butuh
4000.0,2024-01-30,Cash,Makanan/Minuman,Minum,Ingin
11000.0,2024-01-30,Cash,Makanan/Minuman,Roti,Butuh
38900.0,2024-01-30,Cash,Belanja,Glade Pengharum Ruangan,Butuh
20000.0,2024-01-30,Livin,Makanan/Minuman,"Warteg,Makan siang",Butuh
16000.0,2024-01-30,Cash,Makanan/Minuman,Warteg,Butuh
5000.0,2024-01-30,Cash,Kebersihan,Sikat,Butuh
17000.0,2024-01-31,Livin,Makanan/Minuman,"Warteg,Makan siang",Butuh
5000.0,2024-01-31,Livin,Lainnya,Biaya Admin,Harus
6000.0,2024-01-31,Cash,Makanan/Minuman,Nasi Bakar,Butuh
15000.0,2024-01-31,Cash,Makanan/Minuman,Nasi Padang,Butuh
6000.0,2024-02-01,Cash,Makanan/Minuman,Roti,Butuh
15000.0,2024-02-01,Cash,Makanan/Minuman,Nasi Goreng,Butuh
1000000.0,2024-02-01,Livin,Tempat tinggal,Sewa Kos,Harus
2500.0,2024-02-01,Livin,Lainnya,Biaya Admin,Harus
20000.0,2024-02-01,Livin,Makanan/Minuman,"Warteg,Makan siang",Butuh
16000.0,2024-02-02,Livin,Makanan/Minuman,Snack,Ingin
50000.0,2024-02-02,Livin,Transportasi,Ojol,Butuh
5000.0,2024-02-02,Livin,Lainnya,Biaya Admin,Harus
21500.0,2024-02-02,Cash,Makanan/Minuman,Nasi ayam sosis,Butuh
6000.0,2024-02-02,Cash,Makanan/Minuman,Roti,Butuh
230000.0,2024-02-03,Livin,Produktivitas,Jam Tangan,Butuh
13000.0,2024-02-03,Cash,Makanan/Minuman,"Warteg,Sarapan",Butuh
20000.0,2024-02-03,Cash,Makanan/Minuman,Nasi Goreng,Butuh
13000.0,2024-02-03,OVO,Transportasi,Ojol,Butuh
10000.0,2024-02-03,Cash,Makanan/Minuman,"Warteg,Makan siang",Butuh
340000.0,2024-02-03,Livin,Produktivitas,Sepatu,Butuh
39000.0,2024-02-04,Cash,Kebersihan,Laundry,Harus
13000.0,2024-02-04,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-02-04,Cash,Makanan/Minuman,Nasi Goreng,Butuh
17000.0,2024-02-05,Cash,Makanan/Minuman,Ayam Geprek,Butuh
15000.0,2024-02-05,Cash,Makanan/Minuman,"Warteg,Makan siang",Butuh
5000.0,2024-02-05,Cash,Makanan/Minuman,Roti,Butuh
160000.0,2024-02-06,Livin,Transportasi,Kereta,Harus
170000.0,2024-02-06,Livin,Transportasi,Kereta,Harus
17000.0,2024-02-06,Livin,Makanan/Minuman,Ayam Geprek,Butuh
12900.0,2024-02-06,Cash,Makanan/Minuman,You C1000,Butuh
6000.0,2024-02-06,Cash,Makanan/Minuman,Nasi Bakar,Butuh
20000.0,2024-02-06,Cash,Makanan/Minuman,Air Minum,Butuh
28000.0,2024-02-06,Cash,Makanan/Minuman,Makan siang,Butuh
10000.0,2024-02-07,Cash,Makanan/Minuman,Warteg-Sarapan,Butuh
16000.0,2024-02-08,Cash,Makanan/Minuman,Warteg-Makan malam,Butuh
17000.0,2024-02-08,Livin,Makanan/Minuman,Ayam Geprek,Butuh
21000.0,2024-02-09,Cash,Makanan/Minuman,Nasi Goreng,Butuh
16000.0,2024-02-09,Cash,Makanan/Minuman,Warteg-Makan Siang,Butuh
6800.0,2024-02-09,Cash,Makanan/Minuman,Teh Pucuk,Ingin
9000.0,2024-02-09,Cash,Makanan/Minuman,Warteg-Sarapan,Butuh
26679.0,2024-02-09,Livin,Transportasi,e-money,Butuh
18000.0,2024-02-10,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-02-10,Cash,Makanan/Minuman,Warteg,Butuh
3800.0,2024-02-10,Cash,Makanan/Minuman,Fruit Tea,Ingin
16000.0,2024-02-11,Cash,Makanan/Minuman,Warteg,Butuh
92000.0,2024-02-11,Cash,Produktivitas,Meja,Butuh
25000.0,2024-02-11,Cash,Makanan/Minuman,Ayam Goreng,Butuh
15000.0,2024-02-12,Cash,Makanan/Minuman,Nasi Goreng,Butuh
17000.0,2024-02-12,Livin,Makanan/Minuman,Warteg,Butuh
11000.0,2024-02-12,Cash,Makanan/Minuman,Roti,Butuh
12000.0,2024-02-13,Cash,Makanan/Minuman,Nasi Padang,Butuh
237820.0,2024-02-13,Livin,Komunikasi,Wifi,Butuh
5000.0,2024-02-13,Cash,Makanan/Minuman,Roti,Butuh
14000.0,2024-02-13,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-02-14,Cash,Makanan/Minuman,Ayam Geprek,Butuh
15000.0,2024-02-14,Cash,Makanan/Minuman,Nasi Goreng,Ingin
13000.0,2024-02-14,Livin,Makanan/Minuman,Warteg,Butuh
17000.0,2024-02-15,Cash,Makanan/Minuman,Ayam Geprek,Butuh
12000.0,2024-02-15,Cash,Makanan/Minuman,Warteg,Butuh
21500.0,2024-02-16,OVO,Transportasi,Ojol,Butuh
19000.0,2024-02-16,Livin,Makanan/Minuman,Warteg,Harus
13000.0,2024-02-16,Cash,Makanan/Minuman,Roti,Butuh
1200.0,2024-02-16,OVO,Lainnya,Biaya Admin,Harus
14000.0,2024-02-16,Cash,Makanan/Minuman,Ayam Indomaret,Butuh
1200.0,2024-02-18,OVO,Lainnya,Biaya Admin,Harus
26500.0,2024-02-18,OVO,Transportasi,Ojol,Butuh
13000.0,2024-02-19,Cash,Makanan/Minuman,Warteg,Butuh
6000.0,2024-02-19,Cash,Makanan/Minuman,Roti,Butuh
15000.0,2024-02-19,Cash,Makanan/Minuman,Nasi Goreng,Butuh
28000.0,2024-02-20,Cash,Makanan/Minuman,Nasi Goreng,Butuh
28750.0,2024-02-20,Livin,Makanan/Minuman,Pizza,Ingin
6000.0,2024-02-20,Cash,Makanan/Minuman,Nasi Bakar,Butuh
15000.0,2024-02-21,Cash,Makanan/Minuman,Indomie,Butuh
3800.0,2024-02-21,Cash,Makanan/Minuman,Teh Pucuk,Ingin
20000.0,2024-02-21,Cash,Makanan/Minuman,Ayam Geprek,Butuh
20000.0,2024-02-22,Cash,Makanan/Minuman,Air Minum,Butuh
19000.0,2024-02-22,Cash,Kebersihan,Sabun Mandi,Butuh
15000.0,2024-02-22,Livin,Makanan/Minuman,Warteg_Makan Siang,Butuh
17000.0,2024-02-22,Cash,Makanan/Minuman,Nasi Padang_Makan Malam,Butuh
